mass,luminosity,pressure,radius,temperature,opacity,density,energy_generation_rate,radiative_grad,adiabatic_grad,actual_grad,transport
1.4948335765966717e+33,4.794372913105371e+34,3.7668603536205256e+16,21325424420.52598,11440961.50903977,1.285248464639955,24.336956403789728,2.080229990742835,0.3574421555272419,0.4,0.3574421555272419,radiative
1.4952314561646292e+33,4.794455166233252e+34,3.76533454124816e+16,21328281859.262688,11439284.406702986,1.2854793894666536,24.330670060448433,2.0782263423222718,0.3574821654633085,0.4,0.3574821654633085,radiative
1.4956293357325868e+33,4.794537338459184e+34,3.763809147419206e+16,21331139250.5771,11437607.09124005,1.2857104549783949,24.32438502972572,2.076224148511745,0.3575222650745072,0.4,0.3575222650745072,radiative
1.4960272153005444e+33,4.794619429845709e+34,3.762284172008462e+16,21333996594.638752,11435929.562440911,1.2859416613267491,24.318101311485634,2.0742234084305546,0.3575624544425802,0.4,0.3575624544425802,radiative
1.496425094868502e+33,4.794701440455337e+34,3.760759614890752e+16,21336853891.61723,11434251.820096264,1.286173008663261,24.311818905590425,2.072224121199256,0.3576027336492561,0.4,0.3576027336492561,radiative
1.4968229744364595e+33,4.794783370350553e+34,3.7592354759409304e+16,21339711141.682182,11432573.86399755,1.2864044971394477,24.30553781190056,2.0702262859396665,0.3576431027762496,0.4,0.3576431027762496,radiative
1.497220854004417e+33,4.79486521959381e+34,3.757711755033877e+16,21342568345.0033,11430895.693936963,1.2866361269067974,24.299258030274636,2.068229901774846,0.3576835619052609,0.4,0.3576835619052609,radiative
1.4976187335723746e+33,4.794946988247531e+34,3.756188452044503e+16,21345425501.75033,11429217.309707437,1.286867898116768,24.292979560569506,2.066234967829118,0.357724111117976,0.4,0.357724111117976,radiative
1.4980166131403322e+33,4.795028676374114e+34,3.7546655668477464e+16,21348282612.093086,11427538.711102653,1.287099810920793,24.286702402640174,2.0642414832280194,0.35776475049606793,0.4,0.35776475049606793,radiative
1.4984144927082898e+33,4.795110284035923e+34,3.753143099318573e+16,21351139676.20142,11425859.897917047,1.2873318654702703,24.28042655633985,2.062249447098369,0.35780548012119356,0.4,0.35780548012119356,radiative
1.4988123722762473e+33,4.795191811295297e+34,3.751621049331975e+16,21353996694.245243,11424180.869945796,1.2875640619165754,24.27415202151993,2.060258858568187,0.35784630007499724,0.4,0.35784630007499724,radiative
1.499210251844205e+33,4.795273258214542e+34,3.750099416762977e+16,21356853666.394524,11422501.626984823,1.2877964004110496,24.267878798030033,2.0582697167667527,0.35788721043910854,0.4,0.35788721043910854,radiative
1.4996081314121628e+33,4.795354624855939e+34,3.748578201486628e+16,21359710592.819286,11420822.168830806,1.2880288811050091,24.26160688571794,2.056282020824578,0.3579282112951431,0.4,0.3579282112951431,radiative
1.5000060109801203e+33,4.795435911281735e+34,3.74705740337801e+16,21362567473.689594,11419142.495281162,1.2882615041497372,24.255336284429657,2.0542957698733946,0.3579693027247026,0.4,0.3579693027247026,radiative
1.500403890548078e+33,4.795517117554154e+34,3.745537022312226e+16,21365424309.17558,11417462.606134057,1.2884942696964878,24.249066994009365,2.0523109630461662,0.35801048480937414,0.4,0.35801048480937414,radiative
1.5008017701160355e+33,4.795598243735385e+34,3.744017058164414e+16,21368281099.447426,11415782.501188409,1.2887271778964915,24.24279901429948,2.0503275994770807,0.35805175763073244,0.4,0.35805175763073244,radiative
